data,PETR4,BBAS3,GOAU4,ipca,ibov,selic
1/1/2018,19.7,39.68,6.88,0.2,84913.0,0.58
2/1/2018,21.46,41.8,7.88,0.55,85481.0,0.47
3/1/2018,21.41,41.03,7.14,0.23,85366.0,0.53
4/1/2018,22.97,36.7,7.82,0.6,86115.0,0.52
5/1/2018,18.98,30.37,6.81,1.37,76754.0,0.52
6/1/2018,17.19,28.65,6.18,2.49,72763.0,0.52
7/1/2018,19.72,32.5,7.69,0.89,79220.0,0.54
8/1/2018,19.26,30.1,7.86,0.12,76678.0,0.57
9/1/2018,21.09,29.45,7.98,0.96,79342.0,0.47
10/1/2018,27.62,42.75,7.94,0.54,87424.0,0.54
11/1/2018,25.46,44.63,7.32,-1,89504.0,0.49
12/1/2018,22.68,46.49,6.94,-0.89,87887.0,0.49
1/1/2019,25.58,51.86,7.45,0.05,97394.0,0.54
2/1/2019,27.06,50.6,7.18,0.29,95584.0,0.49
3/1/2019,28.06,48.72,7.11,0.75,95415.0,0.47
4/1/2019,27.11,49.68,6.8,1.03,96353.0,0.52
5/1/2019,25.55,51.85,6.48,1.16,97030.0,0.54
6/1/2019,27.41,53.94,7.24,-0.19,100967.0,0.47
7/1/2019,26.08,49.22,6.65,0.4,101812.0,0.57
8/1/2019,25.5,46.24,6.25,0.6,101135.0,0.5
9/1/2019,27.55,45.49,6.25,0.12,104745.0,0.46
10/1/2019,30.39,48.15,6.29,-0.11,107220.0,0.48
11/1/2019,29.15,47.81,7.8,0.97,108233.0,0.38
12/1/2019,30.18,52.82,9.28,0.35,115964.0,0.37
1/1/2020,28.45,48.54,9.53,0.51,113761.0,0.38
2/1/2020,25.34,46.86,7.95,-0.28,104172.0,0.29
3/1/2020,13.99,27.89,4.65,-0.22,73020.0,0.34
4/1/2020,18.05,28.5,5.15,-2.06,80506.0,0.28
5/1/2020,20.34,30.84,6.17,-1.02,87403.0,0.24
6/1/2020,21.55,32.15,7.31,0.89,95056.0,0.21
7/1/2020,22.2,33.58,8.04,1.23,102912.0,0.19
8/1/2020,21.89,32.65,8.79,0.78,99369.0,0.16
9/1/2020,19.61,29.62,9.4,0.13,94603.0,0.16
10/1/2020,18.94,29.8,9.8,0.23,93952.0,0.16
11/1/2020,24.9,33.86,10.26,0.41,108888.0,0.15
12/1/2020,28.34,38.8,11.26,2.04,119306.0,0.16
1/1/2021,26.69,33.86,10.58,-0.29,116007.0,0.15
2/1/2021,22.24,28.05,11.58,1.69,110035.0,0.13
3/1/2021,24.1,30.45,13.41,2.81,116634.0,0.2
4/1/2021,23.62,29.64,14.86,0.38,118894.0,0.21
5/1/2021,26.87,33.49,14.82,2.11,126216.0,0.27
6/1/2021,29.43,32.13,13.83,0.81,126802.0,0.31
7/1/2021,26.91,31.63,14.25,1.68,121801.0,0.36
8/1/2021,27.19,30.43,12.93,0.95,118781.0,0.43
9/1/2021,27.23,28.9,12.42,1.93,110979.0,0.44
10/1/2021,27.25,28.5,12.51,1.35,103501.0,0.49
11/1/2021,29.43,31.84,10.65,2.3,101915.0,0.59
12/1/2021,28.45,28.85,11.38,0.05,104822.0,0.77
1/1/2022,32.35,32.66,11.57,-0.35,112388.0,0.73
2/1/2022,34.0,35.21,10.41,0.12,113142.0,0.76
3/1/2022,33.45,34.7,12.26,2.65,119999.0,0.93
4/1/2022,30.28,33.22,11.36,0.55,107876.0,0.83
5/1/2022,30.06,36.62,12.19,-0.51,111351.0,1.03
6/1/2022,27.93,33.38,9.55,0.48,98542.0,1.02
7/1/2022,34.15,35.97,10.23,-4.35,103165.0,1.03
8/1/2022,33.23,41.69,9.97,-2.55,109523.0,1.17
9/1/2022,29.8,38.52,10.59,-1.21,110037.0,1.07
10/1/2022,29.81,37.02,11.25,0.18,116037.0,1.02
11/1/2022,26.66,35.28,13.69,1,112486.0,1.02
12/1/2022,24.5,34.73,12.97,0.27,110031.0,1.12